title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate,Unnamed: 10
Love's Work: A Reckoning with Life,Gillian Rose,Biography & Autobiography,"'This small book contains multitudes' Marina Warner 'For those who have suffered for and in love, this may prove to be one of the most useful books they will ever read' Nicholas Lezard, Guardian An extraordinary, uncompromising and consoling celebration of a life - through childhood, faith, family, love, friendship, pain and loss - written as its author was facing her own mortality Gillian Rose was a star academic, acclaimed as one of the most dazzling and original thinkers of her time. Told that she had incurable cancer, she found a new way to explore the world and herself. Tender, heartbreakingly honest and written with moments of surprising humour, Love's Work is the exhilarating result. In this short, unforgettable memoir, Rose looks back on her childhood, from the young dyslexic girl, torn between father and stepfather, to the adolescent confronting her Jewish inheritance. As an adult, Gillian Rose proves herself a passionate friend, a searcher for truth, a woman in love and, finally, an exacting but generous patient. Intertwining the personal and the philosophical, Rose meditates on faith, conflict and injustice; the fallibility and endurance of love; our yearning for independence and for connection to others. With droll self-knowledge ('I am highly qualified in unhappy love affairs,' Rose writes) and with unsettling wisdom ('To live, to love, is to be failed'), Love's Work asks the unanswerable question: how is a life best lived?",en,95.0,,,Random House,14/03/2024,
The End of the Story,Lydia Davis,Fiction,"The first and only novel by Lydia Davis, winner of the Man Booker International Prize 2013. 'It surprised me, over and over, to find that I was with such a young man. He was twenty-two when I met him. He turned twenty-three while I knew him, but by the time I turned thirty-five I did not know where he was anymore.' Mislabelled boxes, confusing notes, wrong turnings - such are the obstacles in the way of the unnamed narrator of The End of the Story as she organises her memories of a love affair into a novel. With compassion, wit and what seems to be candour, she seeks to determine what she actually knows about herself and her past, but we begin to suspect, along with her, that given the elusiveness of memory and understanding, any tale retrieved from the past must be fiction Back in print at last, this is Lydia Davis's first - and so far only - novel. 'Extraordinary' Newsday 'Brilliant' New Yorker 'Breathtakingly elegant' Details 'Beautifully written' Marie Claire 'Astonishing' Elle Lydia Davis is the author of Collected Stories, one novel and six short story collections, most recently Can't and Won't. She is the recipient of a MacArthur Fellowship and was named an Officer of the Order of Arts and Letters by the French government for her fiction and her translations of modern writers, including Gustave Flaubert and Marcel Proust. She won the Man Booker International Prize in 2013.",en,201.0,,,Penguin UK,26/03/2015,
Mr. Vertigo,Paul Auster,Fiction,"Una joya de Paul Auster ilustrada por Isol Un dÃ­a, Paul Auster recibe el encargo del New York Times de escribir un cuento navideÃ±o. Abrumado por la tarea (Â«Â¿QuÃ© sabÃ­a yo acerca de la Navidad?Â», se pregunta), decide que la narraciÃ³n que escriba huirÃ¡ de la comÃºn sensiblerÃ­a que impregna esa Ã©poca hibernal. En busca de inspiraciÃ³n, sale a pasear y acude al estanco de Brooklyn regentado por su amigo Auggie Wren, un peculiar fotÃ³grafo que retrata, diariamente, la misma esquina del barrio y el paso del tiempo. SerÃ¡ Ã©l quien ofrezca al autor esta peculiar historia, que comienza con el hallazgo casual de una cartera perdida, y que fue la semilla del guiÃ³n de la pelÃ­cula Smoke.",es,69.0,,,Grupo Planeta Spain,28/10/2013,
The Folding Star,Alan Hollinghurst,Fiction,"Edward Manners - thirty-three and disaffected - escapes to a Flemish city in search of a new life. Almost at once he falls in love with the seventeen-year-old Luc, and is introduced to the twilight world of the 1890s Belgian painter Edgard Orst.",en,440.0,4.0,2.0,Pantheon,1994,
Whatever,Michael Houellebecq,Fiction,"Just thirty, with a well-paid job, no love life and a terrible attitude, the anti-hero of this grim, funny novel smokes four packs of cigarettes a day and writes weird animal stories in his spare time. A computer programmer by day, he is tolerably content, until he's packed off with a colleague - the sexually-frustrated Raphael Tisserand - to train provincial civil servants in the use of a new computer system Houellebecq's first novel was a smash hit in France, expressing the misanthropic voice of a generation. Like A Confederacy of Dunces, Houellebecq's bitter, sarcastic and exasperated narrator vociferously expresses his frustration and disgust with the world.",en,161.0,4.0,1.0,Profile Books,05/05/2011,
Land,Park Kyong-Ni,Social Science,"Acclaimed as an important piece of modern Korean writing, this book is set against the background of the struggle between conservative and modernizing forces at the turn of the century. It follows the fortunes of several generations of Korean villagers during a time of turbulence and change.",en,762.0,,,Routledge,09/01/2014,
The Master of Petersburg,J. M. Coetzee,Fiction,"J.M. Coetzee's latest novel, The Schooldays of Jesus, is now available from Viking. Late Essays: 2006-2016 will be available January 2018. In the fall of 1869 Fyodor Mikhailovich Dostoevsky, lately a resident of Germany, is summoned back to St. Petersburg by the sudden death of his stepson, Pavel. Half crazed with grief, stricken by epileptic seizures, and erotically obsessed with his stepson's landlady, Dostoevsky is nevertheless intent on unraveling the enigma of Pavel's life. Was the boy a suicide or a murder victim? Did he love his stepfather or despise him? Was he a disciple of the revolutionary Nechaev, who even now is somewhere in St. Petersburg pursuing a dream of apocalyptic violence? As he follows his stepson's ghostâ€”and becomes enmeshed in the same demonic conspiracies that claimed the boyâ€”Dostoevsky emerges as a figure of unfathomable contradictions: naive and calculating, compassionate and cruel, pious and unspeakably perverse.",en,199.0,,,Penguin,06/06/2017,
The Wind-Up Bird Chronicle,Haruki Murakami,Fiction,"A ""dreamlike and compellingâ€ tour de force (Chicago Tribune)â€”an astonishingly imaginative detective story, an account of a disintegrating marriage, and an excavation of the buried secrets from Japanâ€™s forgotten campaign in Manchuria during World War II. Now with a new introduction by the author. In a Tokyo suburb, a young man named Toru Okada searches for his wifeâ€™s missing catâ€”and then for his wife as wellâ€”in a netherworld beneath the cityâ€™s placid surface. As these searches intersect, he encounters a bizarre group of allies and antagonists. Gripping, prophetic, and suffused with comedy and menace, this is one of Haruki Murakamiâ€™s most acclaimed and beloved novels.",en,625.0,4.0,23.0,Vintage,11/08/2010,
Pereira Declares: A Testimony,Antonio Tabucchi,Fiction,"""One of the most intriguing and appealing character studies in recent European fiction, and easily the best work of Tabucchi's to have appeared in English translation.""â€”Kirkus Reviews Dr. Pereira is an aging, overweight journalist who has failed to notice the menacing cloud of fascism over Salazarist Portugal, until one day he meets an aspiring young writer and anti-fascist. Breaking out of his apolitical torpor, Pereira reluctantly rises to heroism.",en,148.0,,,New Directions Publishing,17/06/1997,
"City, Sister, Silver",Jachym Topol,Fiction,"Winner of the Egon Hostovsky Prize as the best Czech book of the year, this epic novel powerfully captures the sense of dislocation that followed the Czechs' newfound freedom in 1989. City, Sister, Silver is more than just the story of its young protagonist, who is part businessman, part gang member, part drifter. It is a tour-de-force that includes terrifying dream scenes, excellent reportage, Czech and American Indian legends, a nightmarish Eastern European flea market, comic scenes about the literary world, and an oddly tender story of the love between the protagonist and his spiritual sister.",en,518.0,,,Garrigue Books,2000,
Captain Corelli's Mandolin,Louis de Bernieres,"World War, 1939-1945","This story takes place during World War II on the remote Greek island of Cefalonia. A troop of Italian soldiers occupies the village, and the lives of its peaceful residents become unhinged as a burgeoning romance between the captain and the village doctor's daughter defies established customs.",en,0.0,3.5,2.0,Plaza y Janes,22/01/2002,
Felicia's Journey,William Trevor,Arson,"Novela finalista del Premio Booker en 2002, La historia de Lucy Gault es la Ãºltima obra publicada por William Trevor, considerado uno de los mejores narradores irlandeses vivos. Fascinado por el influjo que la Historia ejerce en el destino de los individuos, Trevor ha dado voz a las vÃ­ctimas y los marginados, procurando reflejar los mundos alternativos en que estas personas se recluyen para protegerse de una realidad que se niega a satisfacer sus deseos mÃ¡s Ã­ntimos. Ese universo de aislamiento personal, en el contexto de una comunidad que se desintegra, es el distintivo de un autor al que se ha comparado nada menos que con su compatriota James Joyce. En el condado de Cork, en la costa sureste de Irlanda, el capitÃ¡n Gault, su esposa Heloise y su hija Lucy, de nueve aÃ±os, sufren el rechazo de sus vecinos por su supuesta simpatÃ­a con el enemigo inglÃ©s. Ante la creciente animadversiÃ³n local, los Gault deciden marcharse a Inglaterra, pero poco antes de su partida la pequeÃ±a Lucy desaparece, y los Ãºnicos rastros hallados parecen indicar que la niÃ±a se ha ahogado. Abrumados por el dolor, los Gault inician un largo peregrinaje por media Europa con el firme propÃ³sito de cortar los lazos con la tierra donde se fraguÃ³ su desgracia, ignorantes de que estÃ¡n dando pie a una tragedia humana aÃºn mayor, que convertirÃ¡ a Lucy en una leyenda entre los habitantes de la zona.",es,0.0,,,Salamandra,23/04/2004,
Disappearance by David Da,deen,Young Adult Fiction,"Â«La guerra es paz. La libertad es esclavitud. La ignorancia es fuerzaÂ». Corre el aÃ±o 1984 y la guerra y la RevoluciÃ³n han dejado el mundo irreconocible. La sociedad estÃ¡ gobernada por el Partido, bajo el liderazgo del Hermano Mayor. La vigilancia masiva lo es todo y la PolicÃ­a del Pensamiento garantiza que no se permita ningÃºn razonamiento individual. AtraÃ­do por una aventura amorosa, Winston Smith encuentra el valor para unirse a una organizaciÃ³n revolucionaria clandestina llamada la Hermandad, cuyo objetivo es la destrucciÃ³n del rÃ©gimen. Pero Winston y su amada Julia se verÃ¡n enfrentados a las consecuencias de su decisiÃ³n, y arrojados a lo mÃ¡s profundo del horror y el miedo. Pocos libros han conseguido una influencia tan dominante en la cultura popular como 1984, y hoy dÃ­a sigue vigente su inquietante advertencia contra el totalitarismo.",es,442.0,,,OcÃ©ano Gran TravesÃ­a,28/11/2024,
The Invention of Curried Sausage,Uwe Timm,Fiction,"Here is what German author/narrator Uwe Timm uncovers about a popular German sidewalk food, curried sausage. Convinced the delicacy did not originate in Berlin, Timm tracks down its creator, one Lena Brucker, now living in a retirement home. Thus the tale of how curried sausage came to be is the romantic story of Lena Brucker's life.",en,234.0,,,New Directions Publishing,1997,
The Shipping News,E. Annie Proulx,Literary Criticism,"This work is part of the ""Continuum Contemporaries"" series giving readers accessible and informative introductions to 30 of the most popular, most acclaimed and most influential contemporary novels. It contains a biography of the novelist, a full-length study of the novel, a summary of how the novel was received upon publication, a summary of how the novel has performed since publication, and a wide range of suggestions for further reading.",en,78.0,,,A&C Black,11/01/2002,
Trainspotting,Irvine Welsh,Fiction,"Muy pocas veces alguien se atreviÃ³ a recomendar tan fervientemente una novela. Â«Merece vender mÃ¡s ejemplares que la BibliaÂ», afirmÃ³ Rebel Inc., una insolente revista literaria escocesa. De inmediato celebrada por los crÃ­ticos mÃ¡s estrictos pero leÃ­da tambiÃ©n por aquellos que raramente se acercan a los libros, ""Trainspotting"" se convirtiÃ³ en uno de los acontecimientos literarios y tambiÃ©n extraliterarios de la Ãºltima dÃ©cada. Fue rÃ¡pidamente adaptada al teatro y luego llevada a la pantalla por Danny Boyle, uno de los jÃ³venes prodigio del cine inglÃ©s. Sus protagonistas son un grupo de jÃ³venes desesperadamente realistas, ni se les ocurre pensar en el futuro: saben que nada o casi nada va a cambiar, habitantes del otro Edimburgo, el que no aparece en los famosos festivales, capital europea del sida y paraÃ­so de la desocupaciÃ³n, la miseria y la prostituciÃ³n, embarcados en una peripecia vital cuyo combustible es la droga, Â«el elixir que les da la vida, y se la quitaÂ». Welsh escribe en el Ã¡spero, colorido, vigoroso lenguaje de las calles. Y entre pico y pico, entre borracheras y fÃºtbol, sexo y rock and roll, la negra picaresca, la Ã©pica astrosa de los que nacieron en el lado duro de la vida, de los que no tienen otra salida que escapar, o amortiguar el dolor de existir con lo primero que caiga en sus manos.",es,385.0,,,Anagrama,18/04/2006,
Birdsong: A Novel of Love and War,Sebastian Faulks,Literary Criticism,"This is part of a new series of guides to contemporary novels. The aim of the series is to give readers accessible and informative introductions to some of the most popular, most acclaimed and most influential novels of recent years - from 'The Remains of the Day' to 'White Teeth'. A team of contemporary fiction scholars from both sides of the Atlantic has been assembled to provide a thorough and readable analysis of each of the novels in question. This is an excellent guide to Sebastian Faulks's best-selling novel. It features a biography of the author, a full-length analysis of the novel, and a great deal more. If you're studying this novel, reading it for your book club, or if you simply want to know more about it, you'll find this guide informative and helpful.",en,94.0,,,Bloomsbury Publishing USA,26/06/2002,
Looking for the Possible Dance,A. L. Kennedy,Fiction,"Mary Margaret Hamilton was educated in Scotland. She was born there too. These may not have been the best possible options, but they were the only ones on offer at the time. Although her father did his best, her knowledge of life is perhaps a little incomplete. Margaret knows the best way to look at the moon, how to wake on time and how to breathe fire. Now she must learn how to live. A. L. Kennedy's absorbing, moving and gently political first novel dissects the intricate difficulties of human relationships, from Margaret's passionate attachment to her father and her more problematic involvement with Colin, her lover, to the wider social relations between pupil and teacher, employer and employee, individual and state.",en,258.0,,,Random House,30/11/2010,
Operation Shylock: A Confession,Philip Roth,Fiction,"WINNER OF THE PEN/FAULKNER AWARD â€¢ From the Pulitzer Prizeâ€“winning author of American Pastoralâ€”a fiendishly imaginative book that features Israeli intelligence agents, Palestinian exiles, an accused war criminal, and an enticing charter member of an organization called Anti-Semites Anonymous ""One of Roth's grand inventions.... [He is] a comic genius."" â€”The New York Review of Books In this book (which may or may not be fiction), Philip Roth meets a man who may or may not be Philip Roth. Because someone with that name has been touring Israel, promoting a bizarre reverse exodus of the Jews. Roth is intent on stopping him, even if that means impersonating his own impersonator. With excruciating suspense, unfettered philosophical speculation, and a wild cast of characters, Operation Shylock barrels across the frontier between fact and fiction, seriousness and high comedy, history and nightmare.",en,401.0,,,Vintage,21/09/2022,
Complicity,Iain Banks,Fiction,"Living for his vices, the greatest of which involves writing front-page bylines, journalist Cameron Colley receives information about a high-stakes conspiracy from an anonymous source, until the men he exposes suddenly begin to die. Reprint.",es,317.0,,,Grijalbo Mondadori,1998,
On Love,Alain de Botton,Fiction,"Escrita hace veinticinco aÃ±os, El placer del amor es un compendio de humor y sabidurÃ­a, una novela provocadora que no ha perdido un Ã¡pice de su actualidad. Un dÃ­a gris cualquiera, un hombre cualquiera y un vuelo de lo mÃ¡s aburrido entre ParÃ­s y Londres... y de repente, ese hombre levanta la vista y ve a Chloe, su vecina de asiento, una joven de ojos verde agua, hombros quebradizos y uÃ±as mal cuidadas. Cuando el aviÃ³n aterriza, Ã©l ya sabe que esa es la mujer de su vida. Es mÃ¡s: su amor es Ãºnico y va a ser eterno. A la semana siguiente, los dos cenan juntos por primera vez, y poco despuÃ©s dormirÃ¡n juntos. Empieza la aclimataciÃ³n a ese paÃ­s extranjero que es el cuerpo del ser amado, pero aÃºn no sabemos si este momento mÃ¡gico tiene mimbres para convertirse en un proyecto de futuro, cabalgando los fastidios de un desayuno donde falta la mermelada que mÃ¡s nos gusta o una cena con los padres de ella. HabrÃ¡ que esperar... Mientras esperamos y leemos, Alain de Botton pone en tela de juicio ese misterio llamado amor, y en la tarea le ayudan los consejos de grandes intelectuales, empezando por Marx y siguiendo con Voltaire, Oscar Wilde y Camus.",es,274.0,,,LUMEN,21/09/2017,
A Suitable Boy,Vikram Seth,,"Una decada antes de alcanzar la celebridad con su novela Un buen partido, Vikram Seth paso dos anos en china, estudiando en la universidad de Nanjing. En 1981, aprovechando las vacaciones de verano, el escritor indio decidio hacer el camino de regreso a Neuva Delhi a traves de Tibet y Nepal. Su plan era atravesar la provincia de Sinkiang y visitar el legendario lago del Cielo, en el noroeste del pais, para intentar luego entrar en el Tibet y llegar a la ciudad de Lhasa; luego seguiria viaje hacia Katmandu. El problema era que viajaba haciendo autostop y que no estaba seguro de poder eludir los severos controles fronterizos. El relato de ese itinerario apasionante, plagado de sorpresas y anecdotas y escrito con un agudo sentido del detalle, merecio en 1983 el prestigioso premio Thomas Cook de literatura de viajes.",es,286.0,,,,1998,
The Stone Diaries,Carol Shields,Literary Criticism,"Continuum Contemporaries will be a wonderful source of ideas and inspiration for members of book clubs and readings groups, as well as for literature students.The aim of the series is to give readers accessible and informative introductions to 30 of the most popular, most acclaimed, and most influential novels of recent years. A team of contemporary fiction scholars from both sides of the Atlantic has been assembled to provide a thorough and readable analysis of each of the novels in question. The books in the series will all follow the same structure:a biography of the novelist, including other works, influences, and, in some cases, an interview; a full-length study of the novel, drawing out the most important themes and ideas; a summary of how the novel was received upon publication; a summary of how the novel has performed since publication, including film or TV adaptations, literary prizes, etc.; a wide range of suggestions for further reading, including websites and discussion forums; and a list of questions for reading groups to discuss.",en,104.0,,,A&C Black,01/09/2001,
The Virgin Suicides,Jeffrey Eugenides,Fiction,"Una aproximaciÃ³n a la nebulosa de la adolescencia a travÃ©s de la personalidad enigmÃ¡tica de las hermanas Lisbon. En menos de un aÃ±o y medio, las cinco hermanas Lisbon, adolescentes de entre trece y diecisiete aÃ±os, se suicidaron. Los jovencitos del barrio habÃ­an estado siempre fascinados por esas inalcanzables jÃ³venes en flor, atraÃ­dos por esa casa de densa feminidad enclaustrada â€“la madre era una catÃ³lica ferviente y moralista que no dejaba que sus hijas salieran con chicos; el padre, profesor de matemÃ¡ticas dÃ³cil y benÃ©volo, aceptaba las muy estrictas normas de su mujerâ€“, y las primeras muertes no hicieron sino ahondar el misterio y el espesor del deseo. Los Lisbon se encerraron cada vez mÃ¡s en sÃ­ mismos y en el interior de la casa, y los jÃ³venes los espiaban desde las ventanas del vecindario, trataban de comunicarse con las hermanas pidiÃ©ndoles canciones por telÃ©fono, contribuÃ­an al intrincado tejido de rumores, a la creaciÃ³n de mitologÃ­as. Veinte aÃ±os despuÃ©s, esos mismos adolescentes, ya en la frontera de la mediana edad, intentan desentraÃ±ar el enigma de aquellas lolitas muertas que siguen fascinÃ¡ndolos.",es,183.0,,,Anagrama,18/04/2006,
The House of Doctor Dee,Peter Ackroyd,Fiction,Fictionalised biography of the sixteenth-century alchemist and astrologer - some would say mountebank and magician - Doctor John Dee.,en,296.0,5.0,1.0,,1993,
The Robber Bride,Margaret Atwood,Fiction,"By the author of The Handmaid's Tale and Alias Grace Zenia is beautiful, smart and greedy, by turns manipulative and vulnerable, needy and ruthless; a man's dream and a woman''s nightmare. She is also dead. Just to make sure Tony, Roz andd Charis are there for the funeral. But five years on, as the three women share an indulgent, sisterly lunch, the unthinkable happens; 'with waves of ill will flowing out of her like cosmic radiation', Zenia is back...",en,497.0,,,Hachette UK,03/09/2009,
The Emigrants,W. G. Sebald,Fiction,"Este es un relato melancÃ³lico, nada Ã©pico, sobre el desarraigo. Sebald recrea las vidas de cuatro exiliados (cinco, si se incluye su propio autorretrato indirecto) a travÃ©s de lo que narran ellos mismos, de recuerdos ajenos, fotografÃ­as, y objetos encontr",es,0.0,,,Anagrama,2006,
The Secret History,Donna Tartt,Fiction,"30 ANIVERSARIO POR LA AUTORA DE EL JILGUERO , GANADORA DEL PREMIO PULITZER Â«La historia del misterioso asesinato que sigue fascinando treinta aÃ±os despuÃ©s.Â» BBC Â«Una autÃ©ntica maravilla. [...] Contundente, sÃ³lida e impecablemente contada.Â» The New York Times Â«Donna Tartt es una escritora increÃ­blemente buena: profunda, sugerente. Una narradora extraordinaria.Â» Stephen King UNO DE LOS 18 MEJORES LIBROS DE MISTERIO SEGÃšN ESQUIRE La vida no es fÃ¡cil en un college de Nueva Inglaterra si eres un chico modesto y falto de afecto que llega de California, y Richard Papen lo sabe; por eso agradece que lo admitan en un pequeÃ±o grupo de cinco estudiantes capitaneados por un profesor de literatura clÃ¡sica con mucho carisma y pocos escrÃºpulos. Los chicos sueltan comentarios en griego y se rÃ­en de la ingenuidad y la torpeza de los demÃ¡s, pero bien mirado se pasan el dÃ­a bebiendo y engullendo pastillas. Hasta que un mal dÃ­a lo que parecÃ­an chiquilladas adquieren una gravedad inesperada. Es entonces cuando Richard y su pandilla descubren quÃ© difÃ­cil es vivir sin mÃ¡scaras y quÃ© fÃ¡cil es matar sin remordimientos. El secreto, primera novela de la gran Donna Tartt, se cuenta entre las mejores obras del siglo XX. La crÃ­tica ha dicho: Â«Si alguna vez pensaste que estudiar Letras era solo corregir comas y leer en bata junto a una chimenea, este libro te va a sacar de tu error. El secreto es como si El club de los poetas muertos y un thriller psicolÃ³gico tuvieran un hijo oscuro y elegante. Secretos y culpa para recordarte que no todo lo que brilla es oro, ni todo lo clÃ¡sico es inocente.Â» Ana Trasobares, Esquire Â«El Ãºnico libro que desearÃ­a haber escritoÂ». Camilla LÃ¤ckberg, Elle Â«Uno de esos libros nacidos para ser clÃ¡sicos instantÃ¡neos. Una lectura perfecta para estar en el sofÃ¡, tapado, con la Ãºnica necesidad de devorar sus pÃ¡ginas (advertencia: tiene un alto componente adictivo, que su longitud no cause rechazo a los curiosos). [...] Durante sus pÃ¡ginas se puede disfrutar con todo: el misterio, el lujo, amores no correspondidos... El propio college semeja un elemento vivo mÃ¡s. Cualquier enamorado de la estÃ©tica dark academia (hola, MiÃ©rcoles Adams) encontrarÃ¡ aquÃ­ el santo grialÂ». Alba Ãlvarez (autora de Pellejos), Vogue Â«Una novela imposible de abandonar hasta la Ãºltima pÃ¡gina.Â» John Grisham Â«La voz de Tartt no es como la de sus contemporÃ¡neos. Su bello lenguaje, su intrincado argumento y sus fascinantes personajes ya se notan de lejos en su debut.Â» Cosmopolitan Â«Vestida como un diminuto gentleman andrÃ³gino, con zapatos Oxford, chalecos y corbatas y peinada con un bob imperturbable (desde Tom Wolfe, ningÃºn escritor habÃ­a hecho tan bien lo del autobranding), a Tartt la rodeaba un relato fabuloso, una historia que se ha demostrado no del todo o casi nada cierta que hablaba de gentileza del Sur y dinero viejo. [ El secreto] se ha convertido en un libro de culto, muy citado, leÃ­do y disfrutado.Â» BegoÃ±a GÃ³mez Urzaiz, El PaÃ­s Â«Como entretenimiento de ritmo feroz, es un Ã©xito magnÃ­fico.Â» The New York Times Â«Una novela descomunal, fascinante e arrolladora.Â» Vanity Fair Â«Inquietante, convincente y maravilloso. [...] Repleto de referencias literarias, con un estilo elegante y una atmÃ³sfera que recuerdan mÃ¡s al siglo XIX que el XX.Â» The Time",es,680.0,,,LUMEN,13/03/2014,
The Discovery of Heaven,Harry Mulisch,Astronomers,"'One of the most entertaining and profound philosophical novels ever written' Washington Post On a cold night in Holland two men meet and change each other's lives forever. Max Delius - a hedonistic, yet brilliant astronomer who loves fast cars, nice clothes and beautiful women - picks up Onno Quist, a cerebral chaotic philologist who cannot bear the ordinariness of everyday life. Despite their differences, they fast become great friends. And when they learn they were conceived on the same day, it is clear that their meeting is no coincidence. As the pair fall into and out of love with the same woman - Ada - so their lives become further intertwined. For all three are on a mysterious journey destined to shape human history. The Discovery of Heaven is internationally recognized as a masterpiece. Rich in philosophical, psychological, historical and theological enquiry, it is an extravagant, bold and satisfying novel of ideas. 'Sparkling, irresistible . . . you'll learn a lot from this novel' The Times 'Anyone who reads The Discovery of Heaven will come away enlightened, challenged and entertained' Wall Street Journal 'Written carefully and ingeniously by a novelist who is also a poet' John Updike, New Yorker",en,736.0,,,"Penguin Books, Limited (UK)",01/01/2011,
A Heart so White,Javier Marias,Fiction,"Publicada en 1992, saludada de inmediato como una obra excepcional y traducida a multitud de idiomas, CorazÃ³n tan blanco certifica la madurez narrativa de Javier MarÃ­as y lo convierte en el autor espaÃ±ol de mayor proyecciÃ³n internacional. En esta historia de secretos y confesiones, matrimonios y crÃ­menes, cobra forma perfecta el universo de temas y obsesiones (el sentido de cada acto y las posibilidades truncadas por cada decisiÃ³n, la duda, los vÃ­nculos entre amor y muerte, las palabras que se dicen y las que quedan por decir) que la narrativa de MarÃ­as ha seguido desarrollando en los aÃ±os posteriores. Elide Pittarello, mÃ¡xima experta en la obra del autor, ha elaborado un estudio introductorio en que desgrana las ricas claves interpretativas que permiten calificar a esta novela de obra maestra, y aporta, en las notas al pie, aquellas aclaraciones esenciales para un cÃ³modo seguimiento del texto.",es,412.0,5.0,1.0,Grupo Planeta (GBS),2006,
Possessing the Secret Joy,Alice Walker,Fiction,A provocative novel about an African tribal woman's battle with madness after the trauma of a childhood genital mutilation. --Publisher.,en,308.0,,,Simon and Schuster,1992,
Indigo,Marina Warner,Caribbean Area,"Novel inspired by Shakespeare's TÌ€he tempest', exploring the colonial history of the West Indies.",en,424.0,,,Random House (UK),1992,
The Crow Road,Iain Banks,Fiction,"La familia Wopuld amasÃ³ su fortuna sobre un juego de mesa llamado Â¡Imperio!, el cual es ahora un juego de ordenador de enorme Ã©xito. Tan enorme, que la American Spraint Corp. desea comprar la empresa al completo. El joven renegado Alban, quien ha estado llevando una vida montaraz evitando los tentÃ¡culos familiares durante aÃ±os, es acechado y persuadido para que asista al prÃ³ximo encuentro, mitad celebraciÃ³n de cumpleaÃ±os y mitad ReuniÃ³n General Extraordinaria, convocado por Win, la matriarca de los Wopuld y el miembro mÃ¡s poderoso de la junta. Repleta de su calidez, humanidad y creatividad caracterÃ­sticas, esta historia maravillosamente vÃ­vida acerca de turbulencias familiares, lealtades comprometidas y pasados ocultos es la novela mÃ¡s fascinante de Iain Banks desde El puente.",es,494.0,,,La FactorÃ­a de Ideas,01/12/2014,
Written on the Body,Jeanette Winterson,Fiction,"The most beguilingly seductive novel to date from the author of The Passion and Sexing the Cherry. Winterson chronicles the consuming affair between the narrator, who is given neither name nor gender, and the beloved, a complex and confused married woman. â€œAt once a love story and a philosophical meditation.â€ â€”New York Times Book Review.",en,192.0,,,Vintage,17/04/2013,
Jazz,Toni Morrison,Fiction,"Una potente novela sobre un crimen pasional y sus consecuencias ambientada en el Harlem de la dÃ©cada de 1920, con la firma inconfundible de Toni Morrison Cuando Violet y Joe Trace, un matrimonio entrado en aÃ±os, llegan a Nueva York huyendo de la intolerancia de su Virginia natal, creen que podrÃ¡n vivir en libertad sin importar el color de su piel. Pero el Harlem de los aÃ±os '20, foco de un vibrante renacimiento cultural, les depara apuros inesperados. Joe acabarÃ¡ cometiendo un horrendo crimen pasional, mientras que Violet se verÃ¡ obligada a convivir con sus celos y las repercusiones del acto de su marido. Retrato de una comunidad en plena ebulliciÃ³n, Jazz es una potente novela sobre conflictos raciales, ilusiones perdidas y las injusticias padecidas por las mujeres en el siglo XX. La crÃ­tica ha dicho: Â«Jazz brilla con una intensidad que se encuentra mÃ¡s a menudo en la poesÃ­a trÃ¡gica del pasado que en la narrativa de hoy [...] La voz de Morrison trasciende los colores y los credos, y ella se ha vuelto una de las mÃ¡s destacadas escritoras estadounidenses de posguerra.Â» The Guardian Â«La escritura de Morrison acerca de un romance negro salda su deuda con la mÃºsica blues, cuyos ritmos y placeres melancÃ³licos la autora ha transformado mÃ¡gicamente en una novela.Â» London Review of Books Â«La autora hace aparecer mundos con total autoridad y no oculta su angustia ante las injusticias padecidas por las mujeres de color.Â» The New York Times Book Review",es,241.0,,,DEBOLS!LLO,08/07/2021,
The English Patient,Michael Ondaatje,Nurse and patient,"Ganador del premio Golden Man Booker Prize, para el que compitieron los ganadores del prestigioso Man Booker Prize de los Ãºltimos 50 aÃ±os. La novela en la que se basa la aclamada pelÃ­cula El paciente inglÃ©s, ganadora de 9 Oscar, incluyendo el premio a la mejor pelÃ­cula. El final de la Segunda Guerra Mundial alcanza a cuatro personas en una villa italiana. Una joven enfermera que cuida a un enigmÃ¡tico hombre completamente abrasado, un rastreador de explosivos de origen sij y un cÃ­nico superviviente de la guerra irÃ¡n recomponiendo sus propias identidades. Algunos de sus recuerdos viajan hasta el ardiente y desolado desierto africano para desvelarnos una intensa historia de amor. La novela fue adaptada al cine en 1996 por Anthony Minghella, convirtiÃ©ndose en una de las pelÃ­culas mÃ¡s premiadas de la historia de los Oscar, con nueve estatuillas. ENGLISH DESCRIPTION With unsettling beauty and intelligence, this Booker Prize-winning novel traces the intersection of four damaged lives in an abandoned Italian villa at the end of World War II. The nurse Hana, exhausted by death, obsessively tends to her last surviving patient. Caravaggio, the thief, tries to reimagine who he is, now that his hands are hopelessly maimed. The Indian sapper Kip searches for hidden bombs in a landscape where nothing is safe but himself. And at the center of his labyrinth lies the English patient, nameless and hideously burned, a man who is both a riddle and a provocation to his companions--and whose memories of suffering, rescue, and betrayal illuminate this book like flashes of heat lightning. Time",es,0.0,,,Debolsillo,25/07/2017,
