title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate
Islands,Dan Sleigh,Fiction,"This novel of epic proportions from South Africa, set between 1650 and 1710, covers the first fifty years of the Dutch colony at the Cape of Good Hope. Beautifully rendered, this is a world and a time never before dealt with in fiction-a period when powerful colonizers took over the lands of Hottentot tribes, exposing aborigines for the first time to Western eyes and Western ways. Through the life stories of seven men-all involved with and defined in one way or another by Pieternella, thebeautiful daughter of the first mixed marriage of the new colony-we gain an understanding of the vast historical forces at work. Teeming with characters, rich with lived experience, gripping in its unexpected turns, Islands is a story of greed, power, war, courage, and international intrigue, at once a meticulously researched portrait of the age and a great adventure story.",en,776,,,Houghton Mifflin,2004
Elizabeth Costello,J. M. Coetzee,Fiction,"Infancia es la primera parte de las memorias noveladas de J.M. Coetzee, que se completan con Juventud y Verano. Tiene diez años. Vive en Worcester, una pequeña localidad al norte de Ciudad del Cabo, con una madre a la que adora y detesta a la vez, un hermano menor y un padre por quien no siente respeto alguno. Lleva una doble vida: en el colegio es el alumno modélico, el primero de la clase; en casa, un pequeño déspota. Los secretos, los engaños y los miedos le atormentan; el amor por la granja familiar y por el veld, las desnudas mesetas sudafricanas, le arraigan a la tierra. J.M. Coetzee vuelca su talento de narrador sobrio, mesurado y elegante en este relato lleno de fuerza, en el que evoca su infancia a comienzos de los años cincuenta; escenas de una vida de provincias donde la inocencia en su estado más puro y la violencia soterrada forman parte tanto de la propia historia como de la de Sudáfrica. Reseñas: «Estas son las memorias de infancia de un alma sensible, que absorbe los impulsos elementales de la vida para utilizarlos posteriormente.» The Washington Post Book World «J.M. Coetzee escribe, como siempre, con una elegancia extraordinaria.» The Atlantic Montly",es,176,,,DEBOLS!LLO,2016-07-07
London Orbital,Iain Sinclair,Travel,"London Orbital is Iain Sinclair's exceptional voyage of discovery into the unloved outskirts of the city 'My book of the year. Sentence for sentence, there is no more interesting writer at work in English' John Lanchester, Daily Telegraph Encircling London like a noose, the M25 is a road to nowhere, but when Iain Sinclair sets out to walk this asphalt loop - keeping within the 'acoustic footprints' - he is determined to find out where the journey will lead him. Stumbling upon converted asylums, industrial and retail parks, ring-fenced government institutions and lost villages, Sinclair discovers a Britain of the fringes, a landscape consumed by developers. London Orbital charts this extraordinary trek and round trip of the soul, revealing the country as you've never seen it before. 'A magnum opus, my book of the year. I urge you to read it. In fact, if you're a Londoner and haven't read it by the end of next year, I suggest you leave' Will Self, Evening Standard 'A journey into the heart of darkness and a fascinating snapshot of who we are, lit by Sinclair's vivid prose. I'm sure it will be read fifty years from now' J. G. Ballard, Observer",en,650,,,Penguin UK,2003-10-02
Family Matters,Rhinton Mistry,Literary Collections,,es,0,,,,2004-04
Fingersmith,Sarah Waters,Fiction,"«Sarah Waters deja atrás las interioridades de la sociedad victoriana de sus celebradas novelas anteriores y las reemplaza por un sencillo y sincero estudio de la alienación provocada por la guerra... Ronda nocturna es un libro emotivo y maravilloso que no necesita trucos de magia para querer leerlo por segunda vez» (Philip Hensher, The Observer). «El retrato que Waters hace del bombardeo de Londres es soberbio... Una novela repleta de matices, inteligente y generosa. Sarah Waters es una autora a celebrar, y esta novela es, muy probablemente, su mayor logro hasta la fecha» (Justine Jordan, The Guardian). «Hay que destacar el sentido del detalle y la descripción precisa y justa de Ronda nocturna, que proporcionan una textura de polvo y ceniza a esta suntuosa novela de amor y arrepentimiento» (Christine Rousseau, Le Monde). «Todo un logro. La meticulosa recreación de Waters sitúa al lector, emocional y físicamente, en la vorágine del Blitz londinense... Un maravilloso tratado sobre la fragilidad del amor y lo efímero de la felicidad» (J. Harding, Daily Mail). Inglaterra se recupera lentamente de los intensos bombardeos nazis durante la Segunda Guerra Mundial. Poco a poco Londres vuelve a la normalidad. Entre sus habitantes se encuentran los personajes de esta novela coral, cuyas vidas se entrelazan azarosamente. Ronda nocturna, la última y celebrada novela de Sarah Waters, nos cuenta la vida de cuatro jóvenes londinenses durante el Blitz y la dura posguerra: el atribulado Duncan, su insatisfecha hermana Viv, la compañera de trabajo de ésta, Helen, fatalmente enamorada, y la ex enfermera Kay, siempre en busca de un nuevo amor. La acción se sitúa en 1947, 1944 y 1941: retrocediendo en el tiempo iremos descubriendo exactamente en qué medida afectó la experiencia de la guerra a estos personajes y, poco a poco, se irá revelando la verdadera naturaleza de sus comportamientos y actitudes actuales, así como la dimensión del laberinto sentimental en el que están atrapados y las inesperadas relaciones existentes entre ellos o con personajes de su pasado. La guerra supuso el fin de su inocencia, es la frontera que separa su aún cercana juventud de una madurez sobrevenida entre bombardeos y cupones de racionamiento. Los secretos que albergan conectan sus vidas de maneras a veces insospechadas... Además de una conmovedora historia de amor y traición en tiempos de guerra, en Ronda nocturna Sarah Waters nos habla de los sueños rotos de toda una generación y realiza una certera disección de las costumbres y la moral de la sociedad británica de posguerra.",es,467,,,Anagrama,2007-06-01
The Double,Jose Saramago,,,es,380,,,,2014
Everything is Illuminated,Jonathan Safran Foer,Social Science,"El cambio climático es un problema real y podemos hacer algo para solucionarlo: cambiar lo que comemos a diario. La mayoría de los libros que abordan la crisis del medioambiente son densos, académicos y están repletos de estadísticas impersonales. Este no es uno más. Es accesible, inmediato y ofrece una solución clara que los lectores pueden poner en practica inmediatamente. El principal porcentaje de las emisiones globales de CO2 proviene de las granjas industriales. Dejar de comer carne es difícil y nadie es perfecto, pero reducir su consumo es mucho más fácil y tiene un efecto positivo e inmediato en el medio ambiente. Solo cambiando nuestra cena (y comiendo carne solo una vez al día) es suficiente para cambiar el mundo. Mezclando ensayo, reportaje periodístico y su propia biografía, historia y actualidad, Jonathan Safran Foer se mete de lleno en uno de los principales dilemas de nuestra época de una forma urgente, creativa y sorprendente.",es,574,,,Seix Barral,2019-10-01
Unless,Carol Shields,Fiction,"Dazzling novel from Carol Shields, author of ‘The Stone Diaries’, winner of the Pulitzer Prize, and ‘Larry’s Party’, winner of the Orange Prize.",en,20,,,HarperCollins UK,2010-08-19
Kafka on the Shore,Haruki Murokami,Fiction,"Una versión inusitada de la tragedia clásica pasada por el tamiz de una sensibilidad moderna y salpicada de referencias culturales contemporáneas, sensualidad y un fino sentido del humor. Murakami en estado puro. Kafka Tamura se va de casa el día en que cumple quince años. Los motivos, si es que los hay, son las malas relaciones con su padre –un famoso escultor convencido de que su hijo repetirá el aciago sino del Edipo de la tragedia clásica– y la sensación de vacío producida por la ausencia de su madre y su hermana, que se marcharon también cuando él era muy pequeño. Sus pasos le llevarán al sur del país, a Takamatsu, donde encontrará refugio en una peculiar biblioteca y conocerá a la misteriosa señora Saeki. Si sobre la vida de Kafka se cierne la tragedia (en el sentido clásico), sobre la de Satoru Nakata ya se ha abatido: de niño, durante la segunda guerra mundial, sufrió un extraño accidente del que salió con secuelas, sumido en una especie de olvido de sí, con dificultades para comunicarse... salvo con los gatos. A los sesenta años abandona Tokio y emprende un viaje que le conducirá también a la biblioteca de Takamatsu. Así, las vidas y destinos de los personajes se van entretejiendo en un curso inexorable que no atiende a razones ni voluntades. Pero, a veces, hasta los oráculos se equivocan.",es,730,4,4,Grupo Planeta Spain,2013-05-28
The Story of Lucy Gault,William Trevor,Arson,"Novela finalista del Premio Booker en 2002, La historia de Lucy Gault es la última obra publicada por William Trevor, considerado uno de los mejores narradores irlandeses vivos. Fascinado por el influjo que la Historia ejerce en el destino de los individuos, Trevor ha dado voz a las víctimas y los marginados, procurando reflejar los mundos alternativos en que estas personas se recluyen para protegerse de una realidad que se niega a satisfacer sus deseos más íntimos. Ese universo de aislamiento personal, en el contexto de una comunidad que se desintegra, es el distintivo de un autor al que se ha comparado nada menos que con su compatriota James Joyce. En el condado de Cork, en la costa sureste de Irlanda, el capitán Gault, su esposa Heloise y su hija Lucy, de nueve años, sufren el rechazo de sus vecinos por su supuesta simpatía con el enemigo inglés. Ante la creciente animadversión local, los Gault deciden marcharse a Inglaterra, pero poco antes de su partida la pequeña Lucy desaparece, y los únicos rastros hallados parecen indicar que la niña se ha ahogado. Abrumados por el dolor, los Gault inician un largo peregrinaje por media Europa con el firme propósito de cortar los lazos con la tierra donde se fraguó su desgracia, ignorantes de que están dando pie a una tragedia humana aún mayor, que convertirá a Lucy en una leyenda entre los habitantes de la zona.",es,0,,,Salamandra,2004-04-23
That They May Face the Rising Sun,John McGahern,Fiction,"Moran, un padre solitario, ha educado a sus hijos en el temor de Dios y el orden de la familia. La boda de Moran con Rose Brady da un nuevo espíritu al hogar. La joven esposa y sus tres hijastras van gestando un privado complot.",es,232,,,,1992-02
