title,author
Long Dark Tea Time of the Soul,Douglas Adams
Dirk Gently's Holistic Detective Agency,Douglas Adams
The Radiant Way,Margaret Drabble
Afternoon of a Writer,Peter Handke
The Black Dahlia,James Ellroy
The Passion,Jeanette Winterson
The Pigeon,Patrick Suskind
The Child in Time,Ian McEwan
Cigarettes,Harry Matthews
The Bonfire of the Vanities,Tom Wolfe
The New York Trilogy,Paul Auster
World's End,T. C. Boyle
The Enigma of Arrival,V. S. Naipaul
The Taebaek Mountains,Jo Jung-Rae
Beloved,Toni Morrison
Anagrams,Lorrie Moore
Matigari,Ngugi wa Thiong'o
Marya: A Life,Joyce Carol Oates
Watchmen,Alan Moore
Old Devils,Kingsley Amis
The Lost Language of Cranes,David Leavitt
An Artist of the Floating World,Kazuo Ishiguro
Extinction,Thomas Bernhard
Foe,J. M. Coetzee
The Drowned and the Saved,Primo Levi
Reasons to Live,Amy Hempel
The Parable of the Blind,Gert Hoffman
Love in the Time of Cholera,Gabriel Garcia Marquez
Oranges are Not the Only Fruit,Jeanette Winterson
The Cider House Rules,John Irving
A Maggot,John Fowles
Less Than Zero,Bret Easton Ellis
Contact,Carl Sagan
The Handmaid's Tale,Margaret Atwood
Perfume,Patrick Suskind
Old Masters: A Comedy,Thomas Bernhard
White Noise,Don DeLillo
Queer,William S. Burroughs
Hawksmoor,Peter Ackroyd
"Legend (Drenai Tales, Book 10)",David Gemmell
Dictionary of the Khazars,Milorad Pavic
The Bus Conductor Hines,James Kelman
The Year of the Death of Ricardo Reis,Jose Saramago
The Lover,Marguerite Duras
Empire of the Sun,J. G. Ballard
The Wasp Factory,Iain Banks
Nights at the Circus,Angela Carter
The Unbearable Lightness of Being,Milan Kundera
Blood and Guts in High School,Kathy Acker
Neuromancer,William Gibson
Flaubert's Parrot,Julian Barnes
Money: A Suicide Note,Martin Amis
Shame,Salman Rushdie
Worstward Ho,Samuel Beckett
Fools of Fortune,William Trevor
La Brava,E. Leonard
Waterland,Graham Swift
Life and Times of Michal K,J. M. Coetzee
The Diaries of Jane Somers,Doris Lessing
The Piano Teacher,Elfriede Jelinek
The Sorrow of Belgium,Hugo Claus
"If Not Now, When?",Primo Levi
A Boy's Own Story,Edmund White
The Color Purple,Alice Walker
Wittgenstien's Nephew: A Friendship,Thomas Bernhard
A Pale View of Hills,Kazuo Ishiguro
Schindler's Ark,Thomas Keneally
The House of the Spirits,Isabel Allende
The Newton Letters,John Banville
On the Black Hill,Bruce Chatwin
Concrete,Thomas Bernhard
The Names,Don DeLillo
Rabbit is Rich,John Updike
Lanark: A Life in 4 Books,Alasdair Gray
The Comfort of Strangers,Ian McEwan
July's People,Nadine Gordimer
Summer in Baden-Baden,Lenod Tsypkin
Broken April,Ismail Kadare
Waiting for the Barbarians,J. M. Coetzee
Midnight's Children,Salman Rushdie
Rites of Passage,William Golding
Rituals,Cees Nooteboom
A Confederacy of Dunces,John Kennedy Toole
City Primeval: High Noon in Detroit,Elmore Leonard
The Name of the Rose,Umberto Eco
The Book of Laughing and Forgetting,Milan Kundera
Smiley's People,John le Carre
Shikasta,Doris Lessing
A Bend in the River,V. S. Naipaul
Burger's Daughter,Nadine Gordimer
The Safety Net,Heinrich Boll
If on a Winter's Night a Traveler,Italo Calvino
The Hitchhiker's Guide to the Galaxy,Douglas Adams
The Cement Garden,Ian McEwan
The World According to Garp,John Irving
Life: A User's Manual,Georges Perec
"The Sea, The Sea",Iris Murdoch
The Singapore Grip,J. G. Farrell
Yes,Thomas Bernhard
The Virgin in the Garden by A.S.,att
In the Heart of the Country,J. M. Coetzee
The Passion of New Eve,Angela Carter
Delta of Venus,Anais Nin
The Shining,Stephen King
Dispatches,Michael Herr
Petals of Blood,Ngugi wa Thiong'o
Song of Solomon,Toni Morrison
The Hour of the Star,Cloris Lispector
The Left-Handed Woman,Peter Handke
Ratner's Star,Don DeLillo
The Public Burning,Robert Coover
Interview with the Vampire,Anne Rice
Cutter and Bone,Newton Thornburg
Amateurs,Donald Barthelme
Patterns of Childhood,Christa Wolf
The Autumn of the Patriarch,Gabriel Garcia Marquez
"W, or the Memory of a Childhood",Georges Perec
A Dance to the Music of Time,Anthony Powell
Grimus,Salman Rushdie
The Dead Father,Donald Barthelme
Fateless,Imre Kertesz
Willard and His Bowling Trophies,Richard Brautigan
High Rise,J. G. Ballard
Humboldt's Gift,Saul Bellow
Dead Babies,Martin Amis
Correction,Thomas Bernhard
Ragtime,E. L. Doctorow
The Fan Man,William Kotzwinkle
Dusklands,J. M. Coetzee
The Lost Honor of Katharina Blum,Heinrich Boll
"Tinker, Tailor, Soldier, Spy",John le Carre
Breakfast of Champions,Kurt Vonnegut
Fear of Flying,Erica Jong
A Question of Power,Bessie Head
The Siege of Krishnapur,J. G. Farrell
The Castle of Crossed Destinies,Italo Calvino
Crash,J. G. Ballard
The Honorary Consul,Graham Greene
Gravity's Rainbow,Thomas Pynchon
The Black Prince,Iris Murdoch
Sula,Toni Morrison
Invisible Cities,Italo Calvino
The Breast,Philip Roth
The Summer Book,Tove Jansson
G.,John Berger
Surfacing,Margaret Atwood
House Mother Normal: A Geriatric Comedy,B. S. Johnson
In a Free State,V. S. Naipaul
The Book of Daniel,E. L. Doctorow
Fear and Loathing in Las Vegas,Hunter S. Thompson
Group Portrait With Lady,Heinrich Boll
The Wild Boys: A Book of the Dead,William S. Burroughs
Rabbit Redux,John Updike
The Sea of Fertility,Yukio Mishima
The Driver's Seat,Muriel Spark
The Ogre,Michael Tournier
The Bluest Eye,Toni Morrison
Goalie's Anxiety at Penalty Kick,Peter Handke
I Know Why the Caged Bird Sings,Maya Angelou
Mercier et Camier,Samuel Beckett
Troubles,J. G. Farrell
Jahrestage,Uwe Johnson
The Atrocity Exhibition,J. G. Ballard
Tent of Miracles,Jorge Amado
Pricksongs and Descants,Robert Coover
Blind Man with a Pistol,Chester Himes
Slaughterhouse-Five,Kurt Vonnegut
The French Lieutentant's Woman,John Fowles
The Green Man,Kingsley Amis
Portnoy's Complaint,Philip Roth
The Godfather,Mario Puzo
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov
Them,Joyce Carol Oates
A Void / Avoid,Georges Perec
Eva Trout,Elizabeth Bowen
Myra Breckinridge,Gore Vidal
The Nice and the Good,Iris Murdoch
Belle du Seigneur,Albert Cohen
Cancer Ward,Aleksandr Solzhenitsyn
The First Circle,Alexsandr Solzhenitsyn
2001: A Space Odyssey,Arthur C. Clarke
Do Androids Dream of Electric Sheep?,Philip K. Dick
Dark as the Grave Wherein My Friend is Laid,Malcolm Lowry
The German Lesson,Siegfried Lenz
In Watermelon Sugar,Richard Brautigan
Kestrel for a Knave,Barry Hines
The Quest for Christa T.,Christa Wolf
Chocky,John Wyndham
The Electric Kool-Aid Acid Test,Tom Wolfe
The Cubs and Other Stories,Mario Vargas Llosa
One Hundred Years of Solitude,Gabriel Garcia Marquez
The Master and Margarita,Mikhail Bulgakov
Pilgrimage,Dorothy Richardson
The Joke,Milan Kundera
No Laughing Matter,Angus Wilson
The Third Policeman,Flann O'Brien
A Man Asleep,Georges Perec
The Birds Fall Down,Rebecca West
Trawl,B. S. Johnson
In Cold Blood,Truman Capote
The Magus,John Fowles
The Vice-Consul,Marguerite Duras
Wide Sargasso Sea,Jean Rhys
Giles Goat Boy,John Barth
The Crying of Lot 49,Thomas Pynchon
Things,Georges Perec
The River Between,Ngugi wa Thiong'o
August is a Wicked Month,Edna O'Brien
"God Bless You, Mr. Rosewater",Kurt Vonnegut
Everything that Rises Must Converge,Flannery O'Connor
The Passion According to G. H.,Clarice Lispector
Sometimes a Great Notion,Ken Kesey
"Come Back, Dr. Caligari",Donald Barthelme
Albert Angelo,B. S. Johnson
Arrow of God,Chinua Achebe
Ravishing of Lol Stein,Marguerite Duras
Herzog,Saul Bellow
V.,Thomas Pynchon
Cat's Cradle,Kurt Vonnegut
The Graduate,Charles Webb
Manon Des Sources,Marcel Pagnol
The Spy Who Came in from the Cold,John le Carre
The Girls of Slender Means,Muriel Spark
Inside Mr. Ender by,Anthony Burgess
The Bell Jar,Sylvia Plath
One Day in the Live of Ivan Denisovitch,Alexander Solzhenitsyn
The Collector,John Fowles
One Flew Over the Cuckoo's Nest,Ken Kesey
A Clockwork Orange,Anthony Burgess
Pale Fire,Vladimir Nabokov
The Drowned World,J. G. Ballard
The Golden Notebook,Doris Lessing
La by rinths: Selected Stories,Jorge Luis Borges
Girl with Green Eyes,Edna O'Brien
The Garden of Finzi-Continis,Giorgio Bassani
Stranger in a Strange Land,Robert A. Heinlein
Franny and Zooey,J. D. Salinger
A Severed Head,Iris Murdoch
Faces in the Water,Janet Frame
Solaris,Stanislaw Lem
Cat and Mouse,Gunter Grass
The Prime of Miss Jean Brodie,Muriel Spark
Catch-22,Joseph Heller
The Violent Bear It Away,Flannery O'Connor
How It Is,Samuel Beckett
Our Ancestors,Italo Calvino
The Country Girls,Edna O'Brien
To Kill a Mockingbird,Harper Lee
"Rabbit, Run",John Updike
Promise at Dawn: A Memoir,Romain Gary
Cider with Rosie,Laurie Lee
Billy Liar,Keith Waterhouse
Naked Lunch,William S. Burroughs
The Tin Drum,Gunter Grass
Absolute Beginners,Colin Macinnnes
Henderson the Rain King,Saul Bellow
Memento Mori,Muriel Spark
Billiards at Half-Past Nine,Heinrich Boll
Breakfast at Tiffany's,Truman Capote
The Leopard,Giuseppe Tomasi di Lampedusa
Pluck the Bud and Destroy the Offspring,Kenzaburo Oe
A Town Like Alice,Nevil Shute
Bitter Glass,Ellis Dillon
Things Fall Apart,Chinua Achebe
Saturday Night and Sunday Morning,Alan Sillitoe
Mrs. 'Arris Goes to Paris,Paul Gallico
Borstal Boy,Brendan Behan
The End of the Road,John Barth
The Once and Future King,T. H. White
The Bell,Iris Murdoch
Jealousy,Alain Robbe-Grillet
Voss,Patrick White
Midwich Cuckoos,John Wyndham
Blue of Noon,Georges Bataille
Homo Faber: A Report,Max Frisch
On the Road,Jack Kerouac
Pnin,Vladimir Nabokov
Doctor Zhivago,Boris Pasternak
Wonderful O,James Thurber
Justine,Lawrence Durrell
Giovanni's Room,James Baldwin
The Lonely Londoners,Samuel Selvon
The Roots of Heaven,Romain Gary
Seize the Day,Saul Bellow
Floating Opera,John Barth
The Lord of the Rings,J. R. R. Tolkien
The Talented Mr. Ripley,Patricia Highsmith
Lolita,Vladimir Nabokov
A World of Love,Elizabeth Bowen
Trusting and the Maimed,J. Plunkett
The Quiet American,Graham Greene
The Last Temptation of Christ,Nikos Kazantzakis
The Recognitions,William Gaddis
The Rogazzi,Pier Paulo Pasolini
Bonjour Tristesse,Francoise Sagan
I'm Not Stiller,Max Frisch
Self Condemned,Wyndham Lewis
Story of O,Pauline Reage
A Ghost at Noon,Alberto Moravia
Lord of the Flies,William Golding
Under the Net,Iris Murdoch
The Go-Between,L. P. Hartley
The Long Good by e,Raymond Chandler
The Unnamable,Samuel Beckett
Watt,Samuel Beckett
Lucky Jim,Kingsley Amis
"Junky: The Definitive Text of ""Junk""",William S. Burroughs
The Adventures of Augie March,Saul Bellow
Go Tell It on the Mountain,James Baldwin
Casino Royale,Ian Fleming
Judge and His Hangman,Friedrich Durrenmatt
Invisible Man,Ralph Ellison
The Old Man and the Sea,Ernest Hemingway
Wise Blood,Flannery O'Connor
The Killer Inside Me,Jim Thompson
Memoirs of Hadrian,Marguerite Youreenar
Malone Dies,Samuel Beckett
The Day of the Triffids,John Wyndham
Foundation,Isaac Asimov
The Opposing Share,Julien Gracq
The Catcher in the Rye,J. D. Salinger
The Rebel: An Essay on Man in Revolt,Albert Camus
Molloy,Samuel Beckett
The End of the Affair,Graham Greene
The Abbot C,Georges Bataille
The La by rinth of Solitude,Octavio Paz
The Third Man,Graham Greene
The 13 Clocks,James Thurber
Gormenghast,Meervyn Peake
The Grass Is Singing,Doris Lessing
"I, Robot",Isaac Asimov
The Moon and the Bonfires,Cesare Pavese
The Garden Where the Brass Band Played,Simon Vestdijk
Love in a Cold Climate,Nancy Mitford
The Case of Comrade Tulayev,Victor Serge
The Heat of the Day,Elizabeth Bowen
The Kingdom of This World,Alejo Carpentier
The Man with the Golden Arm,Nelson Algren
1984,George Orwell
All About H. Hatterr,G. V. Desani
Disobedience,Alberto Moravia
Death Sentence,Maurice Blanchat
The Heart of the Matter,Graham Greene
"Cry, the Beloved Country",Alan Paton
Doctor Faustus,Thomas Mann
The Victim,Saul Bellow
Exercises in Style,Raymond Queneau
If This Is a Man,Primo Levi
Under the Volcano,Malcolm Lowry
The Path to the Nest of Spiders,Italo Calvino
The Plague,Albert Camus
Back,Henry Green
Titus Groan,Mervyn Peake
The Bridge on the Drina,Ivo Andric
Brideshead Revisited,Evelyn Waugh
Animal Farm,George Orwell
Cannery Row,John Steinbeck
The Pursuit of Love,Nancy Mitford
Loving,Henry Green
Arcanum 17,Andre Breton
Christ Stopped at Eboli,Carlo Levi
The Razor's Edge,W. Somerset Maugham
Transit,Anna Seghers
Ficciones,Jorge Luis Borges
Dangling Man,Saul Bellow
The Little Prince,Antoine de Saint-Exupery
Caught,Henry Green
The Glass Bead Game,Herman Hess
Embers,Sándor Márai
"Go Down, Moses",William Faulkner
Outsider,Albert Camus
In Sicily,Elio Vittorini
The Poor Mouth,Flann O'Brien
The Living and the Dead,Patrick White
Hangover Square,Patrick Hamilton
Between the Acts,Virginia Woolf
The Hamlet,William Faulkner
"Farewell, My Lovely",Raymond Chandler
For Whom the Bell Tolls,Ernest Hemingway
Native Son,Richard A. Wright
The Power and the Glory,Graham Greene
The Tartar Steppe,Dino Buzzati
Party Going,Henry Green
The Grapes of Wrath,John Steinbeck
Finnegan's Wake,James Joyce
At Swim-Two-Birds,Flann O'Brien
Coming Up for Air,George Orwell
Good by e to Berlin,Christopher Isherwood
Tropic of Capricorn,Henry Miller
"Good Morning, Midnight",Jean Rhys
The Big Sleep,Raymond Chandler
After the Death of Don Juan,Sylvia Townsend Warner
Miss Pettigrew Lives for a Day,Winifred Watson
Nausea,Jean-Paul Sartre
Rebecca,Daphne Du Maurier
Cause for Alarm,Eric Ambler
Brighton Rock,Graham Greene
U.S.A.: The 42nd Parallel / 1919 / The Big Money,John Dos Passos
Murphy,Samuel Beckett
Of Mice and Men,John Steinbeck
Their Eyes Were Watching God,Zora Neale Hurston
The Hobbit,J. R. R. Tolkien
The Years,Virginia Woolf
In Parenthesis,David Jones
Revenge for Love,Wyndham Lewis
Out of Africa,Isak Dinesen
To Have and Have Not,Ernest Hemingway
Summer Will Show,Sylvia Townsend Warner
Eyeless in Gaza,Aldous Huxley
The Thinking Reed,Rebecca West
Gone With the Wind,Margaret Mitchell
Keep the Aspidistra Flying,George Orwell
Wild Harbour,Ian MacPherson
"Absalom, Absalom!",William Faulkner
At the Mountains of Madness,H. P. Lovecraft
Nightwood,Djuna Barnes
Independent People,Halldor Laxness
Auto-da-fé,Elias Canetti
The Last of Mr. Norris,Christopher Isherwood
"They Shoot Horses, Don't They!",Horace McCoy
The House in Paris,Elizabeth Bowen
England Made Me,Graham Greene
Burmese Days,George Orwell
The Nine Tailors,Dorothy L. Sayers
Threepenny Novel,Bertolt Brecht
Novel with Cocaine,M. Ageyev
The Postman Always Rings Twice,James M. Cain
Tropic of Cancer,Henry Miller
A Handful of Dust,Evelyn Waugh
Tender is the Night,F. Scott Fitzgerald
"Thank You, Jeeves",P. G. Wodehouse
Call It Sleep,Henry Roth
Miss Lonelyhearts,Nathanael West
Murder Must Advertise,Dorothy L. Sayers
The Autobiography of Alice B. Toklas,Gertrude Stein
Testament of Youth,Vera Brittain
A Day Off,Storm Jameson
Man Without Qualities,Robert Musil
A Scots Quair (Sunset Song),Lewis Grassic Gibbon
Journey to the End of the Night,Louis-Ferdinand Celine
Brave New World,Aldous Huxley
Cold Comfort Farm,Stella Gibbons
To the North,Elizabeth Bowen
The Thin Man,Dashiell Hammett
The Radetzky March,Joseph Roth
The Waves,Virginia Woolf
The Glass Key,Dashiell Hammett
Cakes and Ale,W. Somerset Maugham
The Apes of God,Wyndham Lewis
Her Privates We,Frederic Manning
Vile Bodies,Evelyn Waugh
The Maltese Falcon,Dashiell Hammett
Hebdomeros,Giorgio de Chirico
Passing,Nella Larsen
A Farewell to Arms,Ernest Hemingway
Red Harvest,Dashiell Hammett
Living,Henry Green
The Time of Indifference,Alberto Moravia
All Quiet on the Western Front,Erich Maria Remarque
Berlin Alexanderplatz,Alfred Doblin
The Last September,Elizabeth Bowen
Harriet Hume: A London Fantasy,Rebecca West
The Sound and the Fury,William Faulkner
Les Enfants Terribles,Jean Cocteau
Look Homeward Angel,Thomas Wolfe
Story of the Eye,Georges Bataille
Orlando: A Biography,Virginia Woolf
Lady Chatterley's Lover,D. H. Lawrence
The Well of Loneliness,Radclyffe Hall
Childermass,Wyndham Lewis
Quartet,Jean Rhys
Decline and Fall,Evelyn Waugh
Quicksand,Nella Larsen
Parades End,Ford Madox Ford
Nadja,Andre Breton
Steppenwolf,Hermann Hesse
Remembrance of Things Past,Marcel Proust
To the Lighthouse,Virginia Woolf
Tarka the Otter,Henry Williamson
Amerika,Franz Kafka
The Sun Also Rises,Ernest Hemingway
Blindness,Henry Green
The Castle,Franz Kafka
The Good Soldier Svejk,Jaroslav Hasek
The Plumed Serpent,D. H. Lawrence
"One, None and a Hundred Thousand",Luigi Pirandello
The Murder of Roger Ackroyd,Agatha Christie
The Making of Americans,Gertrude Stein
Manhattan Transfer,John Dos Passos
Mrs. Dalloway,Virginia Woolf
The Great Gats by,F. Scott Fitzgerald
The Counterfeiters,Andre Gide
The Trial,Franz Kafka
The Artamonov Business,Maxim Gorky
The Professor's House,Willa Cather
"Billy Budd, Foretopman",Herman Melville
The Green Hat,Michael Arlen
The Magic Mountain,Thomas Mann
We,Yevgeny Zamyatin
A Passage to India,E. M. Forster
The Devil in the Flesh,Raymond Radiguet
Zeno's Conscience,Italo Svevo
Cane,Jean Toomer
Antic Hay,Aldous Huxley
Amok,Stefan Zweig
The Garden Party,Katherine Mansfield
The Enormous Room,e. e. cummings
Jacob's Room,Virginia Woolf
Siddhartha,Hermann Hesse
The Glimpses of the Moon,Edith Wharton
Life and Death of Harriet Frean,May Sinclair
The Last Days of Humanity,Karl Kraus
Aaron's Rod,D. H. Lawrence
Babbitt,Sinclair Lewis
Ulysses,James Joyce
The Fox,D. H. Lawrence
Crome Yellow,Aldous Huxley
The Age of Innocence,Edith Wharton
Main Street,Sinclair Lewis
Women in Love,D. H. Lawrence
Night and Day,Virginia Woolf
Tarr by,Wyndham Lewis
The Return of the Soldier,Rebecca West
The Shadow-Line: A Confession,Joseph Conrad
Summer,Edith Wharton
Growth of the Soil,Knut Hamsun
Bunner Sisters,Edith Wharton
A Portrait of the Artist as a Young Man,James Joyce
Under Fire,Henri Barbusse
Rashomon and Other Stories,Ryunosuke Akutagawa
The Good Soldier,Ford Madox Ford
The Voyage Out,Virginia Woolf
Of Human Bondage,W. Somerset Maugham
The Rainbow,D. H. Lawrence
The Thiry-Nine Steps,John Buchan
KoKoro,Natsume Soseki
Locus Solus,Raymond Roussel
Rosshalde,Hermann Hesse
Tarzan of the Apes,Edgar Rice Burroughs
The Ragged Trousered Philanthropists,Robert Tressell
Sons and Lover,D. H. Lawrence
Death in Venice,Thomas Mann
The Charwoman's Daughter,James Stephens
Ethan Frome,Edith Wharton
Fantomas,Marcel Allain
Howard's End,E. M. Forster
Impressions of Africa,Raymoned Roussel
Three Lives,Gertrude Stein
Martin Eden,Jack London
Strait is the Gate,Andre Gide
Tono-Bungay,H. G. Wells
The Inferno,Henri Barbusse
A Room With a View,E. M. Forster
Iron Heel,Jack London
The Old Wive's Tale,Arnold Bennett
The House on the Borderland,William Hope Hodgson
Mother,Maxim Gorky
The Secret Agent,Joseph Conrad
The Jungle,Upton Sinclair
Young Torless,Robert Musil
The Forsyte Saga,John Galsworthy
The House of Mirth,Edith Wharton
Professor Unrat,Heinrich Mann
Where Angels Fear to Tread,E. M. Forster
Nostromo: A Tale of the Seaboard,Joseph Conrad
Hadrian the Seventh,Frederick Rolfe
The Golden Bowl,Henry James
The Ambassadors,Henry James
The Riddle of the Sands,Erskine Childers
The Immoralist,Andre Gide
The Wings of the Dove,Henry James
Heart of Darkness,Joseph Conrad
The Hound of the Baskervilles,Sir Arthur Conan Doyle
Buddenbrooks: The Decline of a Family,Thomas Mann
Kim,Rudyard Kipling
Sister Carrie,Theodore Dreiser
Lord Jim,Joseph Conrad
Some Experiences of an Irish R.M.,E. O. Somerville
The Stechlin,Theodore Fontane
The Awakening,Kate Chopin
The Turn of the Screw,Henry James
The War of the Worlds,H. G. Wells
The Invisible Man,H. G. Wells
What Masie Knew,Henry James
The Fruits of the Earth,Andre Gide
Dracula,Bram Stoker
